DATE,OPEN,HIGH,LOW,CLOSE
28-04-2020,427.05,427.5,423.2,423.55
29-04-2020,423,424.85,422.85,424
30-04-2020,423.5,425,423.45,424.95
01-05-2020,425,425.5,424.4,425.35
02-05-2020,425,426.15,424.05,424.2
03-05-2020,424.5,425,423.85,424.35
04-05-2020,424,424,423.5,423.75
05-05-2020,423.65,424.1,422.55,422.55
06-05-2020,423.1,425.65,422.8,425
07-05-2020,424.5,426.5,424,426.1
08-05-2020,425.8,428,425.45,427
09-05-2020,427.5,430,427.25,429
10-05-2020,428.5,431,428,430.25
11-05-2020,430,430.25,427.5,428
12-05-2020,428.5,430.45,428.05,429
13-05-2020,428.75,429,427,427.35
14-05-2020,427,427.5,426,427.2
15-05-2020,427,428,426.55,427.85
16-05-2020,427,427,425.15,425.5
17-05-2020,424.55,428.5,423.5,424
18-05-2020,424.5,426,422.05,424
19-05-2020,424.55,428.1,424.05,427.25
20-05-2020,426,429.25,425.5,429
21-05-2020,429,429.5,428,428.55
22-05-2020,428.65,429,427.5,427.65
23-05-2020,428,431.5,427.85,431
24-05-2020,430,430.5,426.5,428
25-05-2020,428.8,429,426,426.5
26-05-2020,426,427,425.9,426.5
27-05-2020,426.85,428.85,426.75,428
28-05-2020,427.85,431,427,430.25
29-05-2020,430,432.1,430,431.7
30-05-2020,431.5,433,429.05,432.45
31-05-2020,432,435,431.8,434.65
01-06-2020,434.5,438,434.25,437.5
02-06-2020,437,439,436.85,437
03-06-2020,437,438,436,436.45
04-06-2020,437,438.1,435.5,436.15
05-06-2020,436.5,437.15,434.85,435
06-06-2020,435,439,435,439
07-06-2020,438,441,437.5,439.95
08-06-2020,439.85,441.05,437,437.35
09-06-2020,442.5,444,441.25,442
10-06-2020,441.85,442,440.5,441
11-06-2020,441,444.05,440,443
12-06-2020,442.5,447,442,446.5
13-06-2020,445.85,448,445.5,447
14-06-2020,446.5,447.45,445,445.25
15-06-2020,445,447.5,443.15,444
16-06-2020,443.5,444,442,442.65
17-06-2020,442,443,441.05,441.65
18-06-2020,441,443.5,440.95,443
19-06-2020,442.5,445.5,442.15,445
20-06-2020,444.5,446,444,445
21-06-2020,444.65,448,444.5,447.5
22-06-2020,447,449,446.5,448.05
23-06-2020,448,449.5,447.45,448
24-06-2020,447.65,447.85,444,447
25-06-2020,446.5,447,444.25,445
26-06-2020,444.95,445.75,443,444.2
27-06-2020,445,450,444,445.25
28-06-2020,445,446,443,443.5
29-06-2020,444,444.5,442.65,443
30-06-2020,443.5,445,443,444.95
01-07-2020,444.5,445.5,442,443
02-07-2020,442.85,443.05,441,441.25
03-07-2020,441,441.85,440.05,440.35
04-07-2020,440,441,439,439.85
05-07-2020,440,442,439.65,440.65
06-07-2020,440.5,442,440,441.5
07-07-2020,441,442.5,440.5,442.25
08-07-2020,443,446,442.5,445.5
09-07-2020,445,449.5,444.5,448
10-07-2020,448.5,450,447.85,448
11-07-2020,447.5,449.5,447,447.5
12-07-2020,448,451,447.85,450.55
13-07-2020,450,454,450,453.8
14-07-2020,453,456,452,455
15-07-2020,456,459.85,455.5,457.25
16-07-2020,457,458.8,455,455.4
17-07-2020,456,456.5,454.25,454.35
18-07-2020,454,455,452,452.25
19-07-2020,453,457,452.25,456
20-07-2020,456.05,458,455,456
21-07-2020,456.15,459.75,456,459.55
22-07-2020,459,460,455,456.1
23-07-2020,455.85,456,452,452.15
24-07-2020,452,454,451,453
25-07-2020,453.05,454,453,453.85
26-07-2020,453.5,455,453.25,454.5
27-07-2020,454.5,456.55,454,455.45
28-07-2020,455,457,454.5,456.5
29-07-2020,456,459,455,458.85
30-07-2020,459,465,458.75,464
31-07-2020,463.5,467,463,465
01-08-2020,465.5,468,464,464.5
02-08-2020,465,466.5,463.7,463.9
03-08-2020,464,465.25,463,463.55
04-08-2020,463.25,464,462.85,463.25
05-08-2020,463,463.55,461,462.95
06-08-2020,463,464,462.5,463.85
07-08-2020,463,465.85,462.85,465
08-08-2020,464.5,466.95,464,466.5
